Date,Close,High,P_H,Low,P_L,Signal,asset1_returns,strategy_returns
2022-09-19 11:36:44,3878.5,3878.5,3878.3153045383447,3878.25,3878.153012338268,1,6.446206407528798e-05,6.446206407528798e-05
2022-09-19 11:36:46,3878.75,3878.75,3878.8149001804345,3878.75,3878.645658596867,1,6.445790898546022e-05,6.445790898546022e-05
2022-09-19 11:36:48,3877.75,3878.5,3878.579977736783,3877.75,3878.411693983058,-1,-0.0002578150177248162,-0.0002578150177248162
2022-09-19 11:36:50,3877.25,3877.5,3877.543278876989,3877.25,3877.411430456887,-1,-0.00012894075172453778,0.00012894075172453778
2022-09-19 11:36:52,3877.0,3877.0,3876.7975071408914,3876.75,3876.655497931512,-1,-6.447868979297944e-05,6.447868979297944e-05
2022-09-19 11:36:54,3876.75,3876.75,3876.8261665029295,3876.75,3876.6406455325214,-1,-6.448284756255251e-05,6.448284756255251e-05
2022-09-19 11:36:56,3877.25,3877.5,3877.5573941556872,3877.25,3877.394876127953,-1,0.00012897401173672662,-0.00012897401173672662
2022-09-19 11:36:58,3877.75,3877.75,3877.34507330031,3877.25,3877.150449806738,-1,0.00012895737958595888,-0.00012895737958595888
2022-09-19 11:37:00,3878.25,3878.25,3877.839545032154,3877.75,3877.641770054543,-1,0.0001289407517246488,-0.0001289407517246488
2022-09-19 11:37:02,3878.25,3878.5,3878.564447752935,3878.25,3878.3998578042506,-1,0.0,-0.0
2022-09-19 11:37:04,3878.0,3878.25,3878.301348433682,3878.0,3878.172394518008,-1,-6.446206407528798e-05,6.446206407528798e-05
2022-09-19 11:37:06,3878.25,3878.25,3878.044379788206,3878.0,3877.903135588742,-1,6.446621970090938e-05,-6.446621970090938e-05
2022-09-19 11:37:08,3877.5,3877.75,3877.83075864868,3877.5,3877.638709297277,-1,-0.00019338619222586395,0.00019338619222586395
2022-09-19 11:37:10,3877.0,3877.25,3877.3071846468474,3877.0,3877.143848214292,-1,-0.00012894906511928816,0.00012894906511928816
2022-09-19 11:37:12,3876.5,3877.0,3877.042320014277,3876.5,3876.903253745023,-1,-0.00012896569512510503,0.00012896569512510503
2022-09-19 11:37:14,3876.0,3876.0,3876.0729220012263,3876.0,3875.915675852432,-1,-0.00012898232942082366,0.00012898232942082366
2022-09-19 11:37:16,3876.0,3876.0,3876.0614799184623,3876.0,3875.8954616028464,-1,0.0,-0.0
2022-09-19 11:37:18,3876.0,3876.0,3876.075592742092,3876.0,3875.8987747417855,-1,0.0,-0.0
2022-09-19 11:37:20,3876.25,3876.25,3876.3217990256617,3876.25,3876.150947766244,-1,6.449948400422123e-05,-6.449948400422123e-05
2022-09-19 11:37:22,3876.25,3876.25,3876.324496016629,3876.25,3876.156913561766,-1,0.0,-0.0
2022-09-19 11:37:24,3876.25,3876.25,3876.069294711366,3876.0,3875.905439084032,-1,0.0,-0.0
2022-09-19 11:37:26,3876.25,3876.5,3876.547840853944,3876.25,3876.3945346869086,-1,0.0,-0.0
2022-09-19 11:37:28,3876.0,3876.0,3876.0668838226943,3876.0,3875.912658566537,-1,-6.449532408903114e-05,6.449532408903114e-05
2022-09-19 11:37:30,3876.5,3876.5,3876.541157504335,3876.5,3876.3981505861034,-1,0.00012899896800822042,-0.00012899896800822042
2022-09-19 11:37:32,3876.0,3876.5,3876.582688920196,3876.0,3876.391087096223,-1,-0.00012898232942082366,0.00012898232942082366
2022-09-19 11:37:34,3876.0,3876.0,3876.061748139679,3876.0,3875.903106918509,-1,0.0,-0.0
2022-09-19 11:37:36,3875.75,3876.0,3876.054242687986,3875.75,3875.891067026597,-1,-6.449948400411021e-05,6.449948400411021e-05
